	it2_s1_filtered.jsonl	it3_s1_filtered.jsonl	it4_s1_complex_filtered.jsonl	it4_s1_filtered.jsonl	it5_s1_complex_filtered.jsonl	it5_s1_filtered.jsonl	it5_s1_various_filtered.jsonl
ACTION_OPEN_CONTENT	1.48	2.45	5.68	2.53	6.29	3.6	0.0
send_email	1.38	2.56	7.47	2.23	7.94	3.53	5.29
send_message	1.63	2.4	8.09	2.53	8.78	3.47	5.19
ACTION_EDIT_DOCUMENT	2.47	3.21	1.14	1.74	1.97	2.84	1.45
ACTION_VIEW_CONTACT	4.94	2.25	6.47	2.48	6.54	3.19	6.64
search_location	1.98	2.3	5.99	2.28	6.15	3.26	8.82
dial	0.89	2.56	4.55	2.53	3.34	3.4	0.0
ACTION_NAVIGATE_TO_LOCATION	1.58	2.61	5.72	2.28	6.01	4.44	8.61
ACTION_CREATE_DOCUMENT	4.89	1.8	6.06	2.53	6.92	2.08	0.0
ACTION_EDIT_VIDEO	3.66	0.5	3.0	2.53	3.97	1.11	1.97
ACTION_SET_ALARM	0.89	1.85	0.0	1.59	0.0	2.84	1.04
ACTION_SET_RINGTONE	1.48	2.35	0.0	1.59	0.0	2.98	1.04
ACTION_EDIT_CONTACT	0.44	1.65	7.33	2.53	6.71	4.57	6.02
ACTION_VIEW_EVENT	2.52	2.76	2.65	2.23	2.6	0.42	0.0
get_contact_info_from_uri	2.67	3.31	1.17	4.42	2.57	4.44	5.19
ACTION_SHOW_ALARMS	4.55	3.91	5.3	4.07	3.97	1.18	0.0
ACTION_EDIT_ALARM	4.0	3.51	1.58	1.04	0.91	0.21	0.31
ACTION_SHOW_TIMERS	3.56	3.51	3.86	3.97	2.0	3.26	2.07
ACTION_GET_CONTENT	4.4	4.11	0.0	4.27	0.0	2.49	0.0
ACTION_IMAGE_CAPTURE	2.52	2.3	0.0	1.84	0.0	1.32	0.0
ACTION_VIDEO_CAPTURE	2.27	2.35	0.0	2.04	0.0	1.94	0.0
ACTION_INSERT_CONTACT	0.49	3.21	2.86	3.13	3.55	2.56	2.59
ACTION_VIEW_CALL_LOG	2.32	0.8	3.0	2.23	4.18	2.36	0.0
ACTION_INSERT_EVENT	3.31	2.51	1.14	3.38	0.56	4.64	4.15
ACTION_VIEW_SENT_EMAILS	1.68	1.05	1.34	1.29	2.11	0.55	0.0
ACTION_VIEW_SENT_MESSAGES	2.37	1.65	1.21	2.18	1.26	2.15	0.52
ACTION_VIEW_WEB_HISTORY	2.52	3.36	2.86	2.68	1.76	1.87	2.59
ACTION_VIEW_PLAYLIST	0.94	1.9	1.14	0.84	1.05	0.14	0.0
ACTION_VIEW_RECENT_APPS	0.4	2.25	2.65	1.04	1.72	0.9	0.0
ACTION_GET_RINGTONE	2.67	1.45	3.37	2.33	3.72	0.62	0.0
play_video	2.67	3.71	1.79	0.5	1.69	2.56	0.0
ACTION_SET_TIMER	2.52	3.56	0.0	3.38	0.0	0.14	0.0
web_search	3.61	2.91	0.0	3.82	0.0	1.8	2.39
play_music	1.98	0.95	2.58	1.74	1.72	0.42	0.0
launch_application	3.46	1.9	0.0	3.28	0.0	2.08	3.11
INTENT_ACTION_VIDEO_CAMERA	2.47	2.45	0.0	2.48	0.0	3.33	5.19
ACTION_PICK	2.47	2.4	0.0	2.48	0.0	3.47	5.19
open_settings	2.47	2.3	0.0	2.48	0.0	3.47	5.19
ACTION_OPEN_DOCUMENT	2.47	2.4	0.0	2.48	0.0	3.47	5.08
get_contact_info	2.47	2.45	0.0	2.48	0.0	3.47	5.19
INTENT_ACTION_STILL_IMAGE_CAMERA	2.47	2.51	0.0	2.48	0.0	3.47	5.19
TOTAL_RECORDS	2023.0	1996.0	2904.0	2014.0	2846.0	1443.0	964.0
