plan	model_count	models	aggregate_score	section
ACTION_VIDEO_CAPTURE	3	scale-qwen3-4b-base.tsv,scale-llama3-4b-base.tsv,scale-phi4-4b-base.tsv	0.12457912457912446	turn_offenders
ACTION_CREATE_DOCUMENT	3	scale-qwen3-4b-base.tsv,scale-llama3-4b-base.tsv,scale-phi4-4b-base.tsv	0.12418300653594772	turn_offenders
ACTION_SET_TIMER	3	scale-qwen3-4b-base.tsv,scale-llama3-4b-base.tsv,scale-phi4-4b-base.tsv	-0.26523297491039427	turn_offenders
ACTION_OPEN_CONTENT	3	scale-qwen3-4b-base.tsv,scale-llama3-4b-base.tsv,scale-phi4-4b-base.tsv	-0.5218253968253967	turn_offenders
play_music	3	scale-qwen3-4b-base.tsv,scale-llama3-4b-base.tsv,scale-phi4-4b-base.tsv	-1.0370370370370372	turn_offenders
web_search	2	scale-qwen3-4b-base.tsv,scale-llama3-4b-base.tsv	0.25961538461538464	turn_offenders
ACTION_IMAGE_CAPTURE	2	scale-qwen3-4b-base.tsv,scale-phi4-4b-base.tsv	0.09999999999999998	turn_offenders
ACTION_SET_ALARM	2	scale-qwen3-4b-base.tsv,scale-phi4-4b-base.tsv	-0.041666666666666685	turn_offenders
ACTION_VIEW_RECENT_APPS	2	scale-llama3-4b-base.tsv,scale-phi4-4b-base.tsv	-0.04347826086956519	turn_offenders
ACTION_EDIT_ALARM	2	scale-qwen3-4b-base.tsv,scale-phi4-4b-base.tsv	-0.6816666666666666	turn_offenders
ACTION_VIEW_CONTACT	2	scale-llama3-4b-base.tsv,scale-phi4-4b-base.tsv	-1.166871921182266	turn_offenders
ACTION_INSERT_CONTACT	1	scale-phi4-4b-base.tsv	-0.060869565217391286	turn_offenders
ACTION_GET_RINGTONE	1	scale-phi4-4b-base.tsv	-0.06481481481481477	turn_offenders
send_email	1	scale-phi4-4b-base.tsv	-0.1736111111111111	turn_offenders
ACTION_EDIT_DOCUMENT	1	scale-phi4-4b-base.tsv	-0.40476190476190477	turn_offenders
dial	1	scale-phi4-4b-base.tsv	-0.42000000000000004	turn_offenders
play_video	1	scale-phi4-4b-base.tsv	-0.4592391304347826	turn_offenders
ACTION_EDIT_VIDEO	1	scale-phi4-4b-base.tsv	-0.5681818181818182	turn_offenders
ACTION_SET_RINGTONE	1	scale-phi4-4b-base.tsv	-0.65	turn_offenders
ACTION_VIEW_PLAYLIST	1	scale-phi4-4b-base.tsv	-0.7037037037037037	turn_offenders
ACTION_VIDEO_CAPTURE	2	scale-qwen3-4b-base.tsv,scale-llama3-4b-base.tsv	0.33333333333333326	turn3_bucket_offenders
