row_label	rma_it5	rma_it3	rma_it4	rma_it2	history_it5	history_it3	history_it4	history_it2
ACTION_CREATE_DOCUMENT	100.0	83.33	100.0	94.12	85.71	100.0	100.0	100.0
ACTION_EDIT_ALARM	0.0	80.95	71.43	68.0	100.0	57.14	85.71	88.0
ACTION_EDIT_CONTACT	95.0	80.0	93.33	66.67	95.0	80.0	93.33	66.67
ACTION_EDIT_DOCUMENT	0.0	27.78	0.0	7.14	9.09	27.78	0.0	7.14
ACTION_EDIT_VIDEO	100.0	100.0	100.0	86.36	100.0	66.67	93.75	86.36
ACTION_GET_CONTENT		100.0	80.0	75.0		100.0	90.0	87.5
ACTION_GET_RINGTONE	100.0	100.0	100.0	91.67	100.0	100.0	100.0	100.0
ACTION_IMAGE_CAPTURE	100.0	100.0	100.0	100.0	0.0	100.0	100.0	66.67
ACTION_INSERT_CONTACT	100.0	90.0	94.74	100.0	100.0	75.0	84.21	66.67
ACTION_INSERT_EVENT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACTION_NAVIGATE_TO_LOCATION	100.0	100.0	85.71	80.0	89.47	80.0	78.57	90.0
ACTION_OPEN_CONTENT	18.75	73.33	68.75	44.44	25.0	66.67	62.5	33.33
ACTION_OPEN_DOCUMENT								
ACTION_PICK								
ACTION_SET_ALARM	80.0	80.0	50.0	100.0	40.0	60.0	25.0	100.0
ACTION_SET_RINGTONE	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
ACTION_SET_TIMER	100.0	85.71	62.5	100.0	100.0	42.86	37.5	100.0
ACTION_SHOW_ALARMS		100.0	100.0	100.0		100.0	100.0	100.0
ACTION_SHOW_TIMERS		90.0	100.0	100.0		100.0	100.0	100.0
ACTION_VIDEO_CAPTURE	100.0	100.0	100.0	75.0	100.0	83.33	80.0	100.0
ACTION_VIEW_CALL_LOG	100.0		100.0	100.0	100.0		100.0	80.0
ACTION_VIEW_CONTACT	92.86	92.86	100.0	96.55	78.57	71.43	93.33	96.55
ACTION_VIEW_EVENT	100.0	94.12	100.0	100.0	100.0	100.0	100.0	100.0
ACTION_VIEW_PLAYLIST	100.0	100.0	83.33	66.67	100.0	91.67	100.0	33.33
ACTION_VIEW_RECENT_APPS	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
ACTION_VIEW_SENT_EMAILS		100.0	100.0	83.33		100.0	100.0	100.0
ACTION_VIEW_SENT_MESSAGES			100.0	100.0			100.0	100.0
ACTION_VIEW_WEB_HISTORY		100.0	100.0			100.0	100.0	
INTENT_ACTION_STILL_IMAGE_CAMERA								
INTENT_ACTION_VIDEO_CAMERA								
dial	100.0	71.43	75.0	100.0	93.33	78.57	81.25	83.33
get_contact_info								
get_contact_info_from_uri	100.0	100.0	100.0		100.0	100.0	100.0	
launch_application		100.0	90.91	100.0		100.0	90.91	91.67
open_settings								
play_music	100.0	50.0	72.73	75.0	100.0	16.67	90.91	66.67
play_video	100.0	100.0	100.0	100.0	100.0	95.45	100.0	100.0
search_location	92.86	100.0	85.71	55.56	92.86	100.0	71.43	44.44
send_email	68.75	62.5	57.14	44.44	62.5	56.25	21.43	22.22
send_message	86.67	64.29	81.25	60.0	86.67	57.14	50.0	30.0
web_search	100.0	58.33	64.71	37.5	100.0	25.0	23.53	25.0
Macro	83.39	84.38	83.35	79.01	80.65	76.72	78.67	74.71
