row_label	rma_it5	rma_it3	rma_it4	rma_it2	history_it5	history_it3	history_it4	history_it2
ACTION_CREATE_DOCUMENT	98.15666666666668	84.44	95.78		95.37666666666667	95.56	83.10499999999999	
ACTION_EDIT_ALARM	70.78	82.86	85.07		72.50999999999999	80.0	82.06	
ACTION_EDIT_CONTACT	94.67333333333333	89.61	89.765		86.46333333333332	81.82	82.86000000000001	
ACTION_EDIT_DOCUMENT	28.916666666666668	16.0	29.07		27.169999999999998	16.0	35.885000000000005	
ACTION_EDIT_VIDEO	88.22666666666667	80.49	79.83000000000001		83.96	26.83	56.935	
ACTION_GET_RINGTONE	100.0	100.0	98.86500000000001		97.91666666666667	100.0	98.86500000000001	
ACTION_INSERT_CONTACT	89.35666666666667	70.97	80.32		77.05666666666666	41.94	53.775	
ACTION_INSERT_EVENT	0.0	0.0	0.0		0.0	0.0	0.0	
ACTION_NAVIGATE_TO_LOCATION	88.10666666666667	84.03	79.565		83.95666666666666	80.67	73.39	
ACTION_OPEN_CONTENT	50.25333333333333	54.62	40.94		50.29	42.02	30.394999999999996	
ACTION_SHOW_ALARMS	100.0	100.0	94.445		100.0	100.0	100.0	
ACTION_SHOW_TIMERS	100.0	100.0	100.0		100.0	100.0	100.0	
ACTION_VIEW_CALL_LOG	100.0	100.0	100.0		100.0	100.0	100.0	
ACTION_VIEW_CONTACT	88.24333333333334	98.65	88.535		88.61333333333333	90.54	82.175	
ACTION_VIEW_EVENT	94.16000000000001	97.3	93.33500000000001		99.02	97.3	100.0	
ACTION_VIEW_PLAYLIST	63.125	100.0	96.155		88.46000000000001	70.0	29.23	
ACTION_VIEW_RECENT_APPS	100.0	100.0	100.0		100.0	100.0	100.0	
ACTION_VIEW_SENT_EMAILS	100.0	100.0	100.0		100.0	100.0	97.06	
ACTION_VIEW_SENT_MESSAGES	89.74333333333334	92.86	100.0		92.30666666666667	100.0	87.5	
ACTION_VIEW_WEB_HISTORY	96.96999999999998	100.0	100.0		100.0	100.0	97.91499999999999	
dial	99.40333333333332	97.33	96.13		94.41333333333334	81.33	88.27	
get_contact_info_from_uri	98.33500000000001	100.0	94.12		95.35	0.0	97.06	
play_music	73.89	89.8	94.565		62.225	63.27	44.565	
play_video	98.66666666666667	100.0	98.33500000000001		94.66666666666667	100.0	89.245	
search_location	83.2	78.79	85.035		70.65666666666667	73.74	72.89	
send_email	73.02	68.1	67.68		60.623333333333335	37.14	54.75	
send_message	68.41000000000001	67.66	77.82		64.26666666666667	37.31	58.015	
Macro	82.31	83.46	83.71		80.14333333333333	70.94	73.41499999999999	
