row_label	rma_it2	history_it2	rma_it3	history_it3	rma_it4	history_it4	rma_it5	history_it5	rma_mean	history_mean	applied_rma
ACTION_CREATE_DOCUMENT	94.12	100.0	83.88499999999999	97.78	97.18666666666667	88.73666666666666	98.6175	92.96	93.45229166666667	94.86916666666667	94.86916666666667
ACTION_EDIT_ALARM	68.0	88.0	81.905	68.57	80.52333333333333	83.27666666666666	53.085	79.3825	70.87833333333333	79.80729166666666	70.87833333333333
ACTION_EDIT_CONTACT	66.67	66.67	84.805	80.91	90.95333333333333	86.35000000000001	94.755	88.5975	84.29583333333333	80.631875	84.29583333333333
ACTION_EDIT_DOCUMENT	7.14	7.14	21.89	21.89	19.38	23.923333333333336	21.6875	22.65	17.524375	18.900833333333335	18.900833333333335
ACTION_EDIT_VIDEO	86.36	86.36	90.245	46.75	86.55333333333334	69.20666666666666	91.17	87.97	88.58208333333334	72.57166666666667	88.58208333333334
ACTION_GET_CONTENT	75.0	87.5	100.0	100.0	80.0	90.0			85.0	92.5	92.5
ACTION_GET_RINGTONE	91.67	100.0	100.0	100.0	99.24333333333334	99.24333333333334	100.0	98.4375	97.72833333333334	99.42020833333333	99.42020833333333
ACTION_IMAGE_CAPTURE	100.0	66.67	100.0	100.0	100.0	100.0	100.0	0.0	100.0	66.6675	100.0
ACTION_INSERT_CONTACT	100.0	66.67	80.485	58.47	85.12666666666667	63.919999999999995	92.0175	82.79249999999999	89.40729166666667	67.963125	89.40729166666667
ACTION_INSERT_EVENT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACTION_NAVIGATE_TO_LOCATION	80.0	90.0	92.015	80.33500000000001	81.61333333333333	75.11666666666667	91.08	85.335	86.17708333333333	82.69666666666667	86.17708333333333
ACTION_OPEN_CONTENT	44.44	33.33	63.974999999999994	54.345	50.21	41.096666666666664	42.3775	43.967499999999994	50.250625	43.18479166666666	50.250625
ACTION_SET_ALARM	100.0	100.0	80.0	60.0	50.0	25.0	80.0	40.0	77.5	56.25	56.25
ACTION_SET_RINGTONE	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
ACTION_SET_TIMER	100.0	100.0	85.71	42.86	62.5	37.5	100.0	100.0	87.0525	70.09	87.0525
ACTION_SHOW_ALARMS	100.0	100.0	100.0	100.0	96.29666666666667	100.0	100.0	100.0	99.07416666666667	100.0	100.0
ACTION_SHOW_TIMERS	100.0	100.0	95.0	100.0	100.0	100.0	100.0	100.0	98.75	100.0	100.0
ACTION_VIDEO_CAPTURE	75.0	100.0	100.0	83.33	100.0	80.0	100.0	100.0	93.75	90.8325	90.8325
ACTION_VIEW_CALL_LOG	100.0	80.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	95.0	95.0
ACTION_VIEW_CONTACT	96.55	96.55	95.755	80.98500000000001	92.35666666666667	85.89333333333333	89.39750000000001	86.10249999999999	93.51479166666667	87.38270833333334	93.51479166666667
ACTION_VIEW_EVENT	100.0	100.0	95.71000000000001	98.65	95.55666666666667	100.0	95.62	99.265	96.72166666666668	99.47875	99.47875
ACTION_VIEW_PLAYLIST	66.67	33.33	100.0	80.83500000000001	91.88	52.82	75.41666666666667	92.30666666666667	83.49166666666667	64.82291666666667	83.49166666666667
ACTION_VIEW_RECENT_APPS	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
ACTION_VIEW_SENT_EMAILS	83.33	100.0	100.0	100.0	100.0	98.04	100.0	100.0	95.8325	99.51	99.51
ACTION_VIEW_SENT_MESSAGES	100.0	100.0	92.86	100.0	100.0	91.66666666666667	89.74333333333334	92.30666666666667	95.65083333333334	95.99333333333334	95.99333333333334
ACTION_VIEW_WEB_HISTORY			100.0	100.0	100.0	98.61	96.96999999999998	100.0	98.99	99.53666666666668	99.53666666666668
dial	100.0	83.33	84.38	79.94999999999999	89.08666666666666	85.92999999999999	99.5525	94.1425	93.25479166666666	85.83812499999999	93.25479166666666
get_contact_info_from_uri			100.0	50.0	97.06	98.53	98.89	96.89999999999999	98.64999999999999	81.80999999999999	98.64999999999999
launch_application	100.0	91.67	100.0	100.0	90.91	90.91			96.96999999999998	94.19333333333334	96.96999999999998
play_music	75.0	66.67	69.9	39.97	87.28666666666668	60.01333333333334	82.59333333333333	74.81666666666668	78.69500000000001	60.36750000000001	78.69500000000001
play_video	100.0	100.0	100.0	97.725	98.89	92.83	99.0	96.0	99.4725	96.63875	99.4725
search_location	55.56	44.44	89.39500000000001	86.87	85.25999999999999	72.40333333333334	85.615	76.2075	78.9575	69.98020833333334	78.9575
send_email	44.44	22.22	65.3	46.695	64.16666666666667	43.64333333333334	71.9525	61.0925	61.46479166666667	43.412708333333335	61.46479166666667
send_message	60.0	30.0	65.975	47.225	78.96333333333332	55.343333333333334	72.975	69.86749999999999	69.47833333333332	50.60895833333333	69.47833333333332
web_search	37.5	25.0	58.33	25.0	64.71	23.53	100.0	100.0	65.13499999999999	43.3825	65.13499999999999
Macro	79.01	74.71	83.91999999999999	73.83	83.58999999999999	75.16666666666667	82.58	80.27000000000001	82.27499999999999	75.99416666666667	83.37198809523811
