file_name	original_count	sampled_count	output_path
it2_nonNR_tc.tsv	378	378	datasets/tc/capped_complex_plan5/it2_nonNR_tc.tsv
it3_complex_1_tc.tsv	1547	135	datasets/tc/capped_complex_plan5/it3_complex_1_tc.tsv
it3_nonNR_tc.tsv	375	375	datasets/tc/capped_complex_plan5/it3_nonNR_tc.tsv
it4_complex_1_tc.tsv	1132	130	datasets/tc/capped_complex_plan5/it4_complex_1_tc.tsv
it4_complex_2_tc.tsv	1233	135	datasets/tc/capped_complex_plan5/it4_complex_2_tc.tsv
it4_nonNR_tc.tsv	379	379	datasets/tc/capped_complex_plan5/it4_nonNR_tc.tsv
it5_complex_1_tc.tsv	581	125	datasets/tc/capped_complex_plan5/it5_complex_1_tc.tsv
it5_complex_2_tc.tsv	736	130	datasets/tc/capped_complex_plan5/it5_complex_2_tc.tsv
it5_complex_3_tc.tsv	1028	120	datasets/tc/capped_complex_plan5/it5_complex_3_tc.tsv
it5_nonNR_tc.tsv	273	273	datasets/tc/capped_complex_plan5/it5_nonNR_tc.tsv
