model	turn	coref_turn1	coref_turn2	coref_turn3	coref_turn4
o4-mini	Turn3	72.88	74.25		
o4-mini	Turn4	73.73	77.04	78.69	
o4-mini	Turn5	79.02	79.79	80.31	81.16
gpt41	Turn3	72.12	75.53		
gpt41	Turn4	72.08	75.19	76.43	
gpt41	Turn5	78.68	75.38	80.92	81.91
gemini-2.0-flash	Turn3	71.67	76.69		
gemini-2.0-flash	Turn4	70.38	75.6	77.87	
gemini-2.0-flash	Turn5	77.23	79.28	78.99	79.97
gpt-4o-mini	Turn3	70.91	70.04		
gpt-4o-mini	Turn4	70.57	74.34	72.87	
gpt-4o-mini	Turn5	72.97	73.67	78.11	74.53
llama3-sft	Turn3	68.77	73.73		
llama3-sft	Turn4	68.51	74.89	78.39	
llama3-sft	Turn5	74.62	78.51	80.19	75.79
phi-4-sft	Turn3	70.94	76.72		
phi-4-sft	Turn4	69.55	77.28	78.67	
phi-4-sft	Turn5	77.87	80.88	81.68	80.65
qwen2.5-3b	Turn3	65.52	71.19		
qwen2.5-3b	Turn4	65.54	73.63	77.95	
qwen2.5-3b	Turn5	68.99	72.94	74.9	81.12
qwen3-4b	Turn3	68.52	77.32		
qwen3-4b	Turn4	68.8	75.02	79.2	
qwen3-4b	Turn5	74.51	80.39	78.98	82.58
