model	turn	coref_turn1	coref_turn2	coref_turn3	coref_turn4
o4-mini	Turn3	58.63	59.89		
o4-mini	Turn4	59.88	61.53	62.6	
o4-mini	Turn5	66.85	64.47	65.21	67.32
gpt41	Turn3	57.99	64.69		
gpt41	Turn4	56.7	59.91	59.31	
gpt41	Turn5	65.6	63.2	66	70.36
gemini-2.0-flash	Turn3	56.62	60.59		
gemini-2.0-flash	Turn4	53.4	58.96	62.33	
gemini-2.0-flash	Turn5	63.28	63.61	62.26	69.54
gpt-4o-mini	Turn3	55.2	59.65		
gpt-4o-mini	Turn4	56.64	58.49	60.67	
gpt-4o-mini	Turn5	59.65	54.64	61.68	62.47
llama3-sft	Turn3	52.33	56.24		
llama3-sft	Turn4	51.67	58.2	64.1	
llama3-sft	Turn5	62.77	63.05	65	66.69
phi-4-sft	Turn3	54.43	61.24		
phi-4-sft	Turn4	54.98	62.6	65.22	
phi-4-sft	Turn5	65.65	66.26	67.37	75.28
qwen2.5-3b	Turn3	48.17	53.77		
qwen2.5-3b	Turn4	47.44	58.86	62.48	
qwen2.5-3b	Turn5	53.68	59.08	62.72	70.35
qwen3-4b	Turn3	51.25	62.04		
qwen3-4b	Turn4	51.07	58.49	65.66	
qwen3-4b	Turn5	60.64	65	62.3	73.38
